iter	MultiClass
0	1.380319318
1	1.374356372
2	1.367395478
3	1.360887451
4	1.355499319
5	1.350212738
6	1.345801001
7	1.341299058
8	1.336446912
9	1.332789813
10	1.329443961
11	1.32526799
12	1.32227234
13	1.319459145
14	1.315904205
15	1.311695081
16	1.307583994
17	1.304358096
18	1.301199017
19	1.298501402
20	1.295154398
21	1.292052083
22	1.287892111
23	1.28420403
24	1.281719395
25	1.277833555
26	1.274448955
27	1.271379778
28	1.269470183
29	1.266371534
30	1.262994372
31	1.25989567
32	1.257009296
33	1.253537645
34	1.25064636
35	1.247770836
36	1.245596411
37	1.24406992
38	1.241390203
39	1.23957952
40	1.2368051
41	1.235111888
42	1.232768146
43	1.231672565
44	1.229893934
45	1.228220311
46	1.226554198
47	1.223455615
48	1.22111637
49	1.218981211
50	1.216673762
51	1.215372245
52	1.212908412
53	1.210795958
54	1.208675896
55	1.206138562
56	1.204677917
57	1.202657487
58	1.201322882
59	1.199261471
60	1.197092034
61	1.194814095
62	1.193300756
63	1.191669257
64	1.190237064
65	1.188632533
66	1.186757853
67	1.18471598
68	1.182947813
69	1.180945193
70	1.179455697
71	1.177826607
72	1.176748842
73	1.175213934
74	1.173282455
75	1.171904032
76	1.171029449
77	1.170222891
78	1.16890323
79	1.166890029
80	1.165695691
81	1.164615435
82	1.162859394
83	1.161188894
84	1.158962014
85	1.157295296
86	1.156468493
87	1.154626982
88	1.153502922
89	1.151636004
90	1.149837575
91	1.148844103
92	1.147032075
93	1.145436064
94	1.14429165
95	1.143158808
96	1.142325513
97	1.140674011
98	1.139464283
99	1.138224755
100	1.136218659
101	1.134586002
102	1.133035848
103	1.131758433
104	1.130109448
105	1.128766675
106	1.126858124
107	1.12608486
108	1.12563281
109	1.124383494
110	1.122968694
111	1.122069636
112	1.120682955
113	1.120112516
114	1.119102637
115	1.11815423
116	1.116984882
117	1.115568587
118	1.114092221
119	1.113038451
120	1.112045048
121	1.111373623
122	1.110316195
123	1.10922852
124	1.107926275
125	1.106941332
126	1.106154503
127	1.105324514
128	1.104552314
129	1.103232107
130	1.10233465
131	1.100950135
132	1.100368613
133	1.099720679
134	1.098940571
135	1.097915559
136	1.097245466
137	1.096302395
138	1.095572911
139	1.094727929
140	1.093322841
141	1.091952134
142	1.090940101
143	1.090057123
144	1.088932209
145	1.088272004
146	1.087524334
147	1.086474029
148	1.085332276
149	1.084639669
150	1.083222248
151	1.082878243
152	1.082062027
153	1.080980732
154	1.080012182
155	1.079474086
156	1.078498852
157	1.078165492
158	1.077438392
159	1.076676006
160	1.076074932
161	1.07548992
162	1.074944238
163	1.073579055
164	1.07286328
165	1.072453984
166	1.071396113
167	1.070172468
168	1.069308337
169	1.068299858
170	1.06713902
171	1.066311513
172	1.065398198
173	1.064220086
174	1.063629164
175	1.062617891
176	1.062046389
177	1.061125851
178	1.060306102
179	1.059861945
180	1.058887921
181	1.058276478
182	1.057334717
183	1.056706277
184	1.055857781
185	1.055137042
186	1.054472286
187	1.05372438
188	1.052814503
189	1.052427078
190	1.051784626
191	1.05072922
192	1.050154931
193	1.049177798
194	1.048620759
195	1.047705269
196	1.047039609
197	1.046254131
198	1.045828968
199	1.045484445
200	1.044567993
201	1.043720864
202	1.043172978
203	1.042093966
204	1.041171785
205	1.040758757
206	1.040113051
207	1.039311306
208	1.038731241
209	1.038044154
210	1.036815798
211	1.036346604
212	1.035078163
213	1.034555136
214	1.033668311
215	1.033066798
216	1.032310156
217	1.031812059
218	1.031212863
219	1.030563829
220	1.029788457
221	1.029085481
222	1.028343782
223	1.027723241
224	1.026939202
225	1.02632613
226	1.025728582
227	1.02521914
228	1.024226401
229	1.02314286
230	1.02236163
231	1.021447652
232	1.020371161
233	1.019430444
234	1.018663421
235	1.017768359
236	1.017260916
237	1.0166581
238	1.015996816
239	1.015423438
240	1.014206353
241	1.013548066
242	1.012918013
243	1.012389804
244	1.011526042
245	1.010865244
246	1.009755797
247	1.00905225
248	1.008551953
249	1.008040315
250	1.007193425
251	1.006529521
252	1.006084304
253	1.005672272
254	1.004837823
255	1.003587377
256	1.003105327
257	1.002043489
258	1.000746709
259	1.000345809
260	0.999733321
261	0.9992332794
262	0.9985537712
263	0.9981604954
264	0.9977981125
265	0.9973352659
266	0.9968911113
267	0.9961709973
268	0.9952394273
269	0.9945589663
270	0.9939969176
271	0.9934562919
272	0.9930476365
273	0.992365702
274	0.9915724124
275	0.9903887351
276	0.9896401565
277	0.9889205902
278	0.9882371909
279	0.9876789832
280	0.9872463615
281	0.9866592891
282	0.9859331401
283	0.9853624352
284	0.9849497623
285	0.98424645
286	0.9834735261
287	0.982500114
288	0.9818505161
289	0.9809373258
290	0.9805759128
291	0.9799525178
292	0.9791751852
293	0.9787505883
294	0.9777922798
295	0.9771984787
296	0.97663432
297	0.9758109093
298	0.9750919199
299	0.9745032605
300	0.9734653527
301	0.972822266
302	0.97215202
303	0.9716557707
304	0.9712532243
305	0.9707154649
306	0.9700596603
307	0.9691188309
308	0.9684356597
309	0.9681574125
310	0.9677286008
311	0.9672755691
312	0.9667089274
313	0.9661713607
314	0.9655731414
315	0.9647033471
316	0.9639015519
317	0.9631475524
318	0.9622846238
319	0.9618948664
320	0.9613784387
321	0.9607397142
322	0.9602646729
323	0.9598562244
324	0.9592870013
325	0.9585499767
326	0.9580422219
327	0.9574239564
328	0.956801168
329	0.9562120094
330	0.9555529287
331	0.9546909495
332	0.9538448854
333	0.9533894866
334	0.9526131698
335	0.9521810227
336	0.9515577742
337	0.9508389998
338	0.9504735154
339	0.9498699877
340	0.9492454984
341	0.9484268943
342	0.9479978046
343	0.9473882025
344	0.9468626743
345	0.9464195326
346	0.945878309
347	0.945426605
348	0.944852919
349	0.9444158467
350	0.9438185526
351	0.9434090502
352	0.94302009
353	0.9424921956
354	0.9420086524
355	0.9416517155
356	0.941047915
357	0.940642261
358	0.9399982092
359	0.9393315996
360	0.938633242
361	0.9380950446
362	0.9376343472
363	0.9372000355
364	0.9364660725
365	0.9357954675
366	0.9349869508
367	0.9341610267
368	0.9336455812
369	0.932715097
370	0.9319867084
371	0.9314756018
372	0.9305994865
373	0.929996955
374	0.9294239987
375	0.9288639189
376	0.9283995689
377	0.9279242809
378	0.9276165403
379	0.9268213111
380	0.9263810445
381	0.9259756745
382	0.9256669933
383	0.9247397374
384	0.9242022373
385	0.9237654551
386	0.923292996
387	0.922522014
388	0.9219761658
389	0.9216996257
390	0.9212672147
391	0.9206612824
392	0.91969444
393	0.918943418
394	0.9179250229
395	0.9174032181
396	0.9170254094
397	0.916582816
398	0.9160640438
399	0.9156615766
400	0.9151239542
401	0.9146960773
402	0.9140621545
403	0.9135849544
404	0.9128225756
405	0.9123992322
406	0.9120253752
407	0.9115375083
408	0.9111980415
409	0.9107811277
410	0.9102745273
411	0.9095287705
412	0.9091666096
413	0.9087382862
414	0.9082221367
415	0.9077970495
416	0.907198654
417	0.9067204191
418	0.9061536143
419	0.9056613218
420	0.9050550607
421	0.9043101377
422	0.9038427294
423	0.9031735593
424	0.9024467521
425	0.9018689001
426	0.901150974
427	0.9002455771
428	0.8998838187
429	0.8994496551
430	0.8989744915
431	0.8982501422
432	0.8978323949
433	0.8973206977
434	0.896576983
435	0.8962423106
436	0.895653839
437	0.8951849878
438	0.8944875185
439	0.8941685328
440	0.8935709748
441	0.8929921374
442	0.8926925986
443	0.8919823619
444	0.8915500561
445	0.8909731144
446	0.8901068934
447	0.8896237251
448	0.8891815988
449	0.8887606332
450	0.888300536
451	0.8877963941
452	0.8874360009
453	0.8869383176
454	0.8863864988
455	0.8857096645
456	0.8848828079
457	0.8840344843
458	0.8836431655
459	0.8829916862
460	0.8823071413
461	0.8814584641
462	0.8808428647
463	0.8800698432
464	0.8795799616
465	0.8788203986
466	0.8783999546
467	0.8781074615
468	0.8775386826
469	0.8769898563
470	0.8764210527
471	0.876037342
472	0.8756590162
473	0.8751697642
474	0.8748208337
475	0.8741049229
476	0.8733657441
477	0.8728424412
478	0.8724882732
479	0.8718734143
480	0.8715159178
481	0.8707155801
482	0.8698970182
483	0.8694714253
484	0.8688014711
485	0.8683807536
486	0.8676285206
487	0.8671115033
488	0.8666378873
489	0.8657971279
490	0.8652748743
491	0.8645251442
