iter	Passed	Remaining
0	321	160399
1	459	114342
2	594	98542
3	731	90740
4	867	85880
5	1008	83051
6	1148	80919
7	1284	79010
8	1419	77450
9	1557	76308
10	1695	75358
11	1829	74380
12	1964	73606
13	2101	72945
14	2238	72375
15	2375	71853
16	2508	71270
17	2645	70833
18	2792	70691
19	2934	70425
20	3070	70028
21	3203	69594
22	3338	69235
23	3474	68917
24	3610	68592
25	3746	68296
26	3881	68003
27	4019	67749
28	4155	67485
29	4290	67221
30	4428	66995
31	4562	66732
32	4697	66478
33	4831	66223
34	4969	66020
35	5105	65802
36	5242	65597
37	5380	65419
38	5520	65254
39	5660	65093
40	5798	64918
41	5942	64801
42	6096	64796
43	6242	64693
44	6380	64513
45	6518	64339
46	6657	64168
47	6801	64043
48	6939	63870
49	7079	63718
50	7217	63542
51	7357	63383
52	7495	63220
53	7634	63057
54	7773	62898
55	7913	62745
56	8053	62590
57	8192	62433
58	8329	62262
59	8468	62099
60	8608	61954
61	8744	61778
62	8882	61610
63	9018	61441
64	9156	61277
65	9310	61222
66	9460	61141
67	9604	61019
68	9746	60877
69	9885	60727
70	10025	60573
71	10163	60416
72	10300	60252
73	10438	60094
74	10580	59955
75	10721	59815
76	10859	59655
77	10995	59487
78	11134	59338
79	11274	59193
80	11411	59029
81	11551	58885
82	11693	58747
83	11833	58603
84	11975	58470
85	12116	58330
86	12255	58178
87	12395	58035
88	12538	57904
89	12691	57817
90	12838	57701
91	12975	57544
92	13112	57385
93	13251	57234
94	13388	57076
95	13526	56923
96	13669	56790
97	13809	56649
98	13951	56511
99	14094	56376
100	14234	56232
101	14371	56075
102	14509	55924
103	14652	55792
104	14792	55648
105	14930	55494
106	15070	55351
107	15206	55192
108	15344	55041
109	15485	54904
110	15631	54781
111	15769	54631
112	15921	54526
113	16073	54422
114	16215	54288
115	16357	54147
116	16498	54009
117	16640	53870
118	16778	53719
119	16918	53576
120	17056	53426
121	17198	53287
122	17335	53134
123	17477	52996
124	17616	52849
125	17756	52704
126	17896	52562
127	18033	52409
128	18173	52267
129	18311	52118
130	18453	51980
131	18596	51844
132	18735	51697
133	18871	51543
134	19009	51395
135	19160	51281
136	19309	51162
137	19456	51037
138	19596	50894
139	19738	50756
140	19878	50611
141	20015	50461
142	20158	50325
143	20299	50185
144	20436	50035
145	20576	49890
146	20713	49741
147	20853	49596
148	20991	49450
149	21130	49303
150	21265	49150
151	21404	49004
152	21543	48860
153	21687	48727
154	21828	48585
155	21970	48447
156	22111	48307
157	22249	48160
158	22388	48014
159	22533	47882
160	22684	47764
161	22830	47633
162	22966	47482
163	23106	47340
164	23248	47201
165	23386	47053
166	23528	46915
167	23665	46768
168	23806	46627
169	23946	46484
170	24085	46339
171	24226	46198
172	24367	46058
173	24508	45918
174	24650	45779
175	24790	45636
176	24929	45493
177	25071	45353
178	25211	45211
179	25351	45068
180	25489	44924
181	25631	44784
182	25772	44643
183	25924	44522
184	26081	44408
185	26223	44270
186	26360	44122
187	26501	43980
188	26645	43845
189	26785	43702
190	26924	43557
191	27063	43413
192	27204	43274
193	27349	43139
194	27486	42992
195	27627	42850
196	27767	42707
197	27907	42565
198	28044	42418
199	28183	42275
200	28326	42137
201	28466	41995
202	28605	41851
203	28748	41713
204	28888	41571
205	29029	41430
206	29176	41298
207	29329	41173
208	29474	41039
209	29643	40936
210	29783	40793
211	29923	40651
212	30060	40503
213	30202	40363
214	30344	40224
215	30482	40079
216	30624	39938
217	30765	39797
218	30903	39652
219	31046	39514
220	31193	39379
221	31333	39237
222	31471	39092
223	31611	38950
224	31755	38811
225	31897	38672
226	32038	38530
227	32178	38388
